ICD10,Text
W83,случа уточн запл дишан
W84,запл дишан неуточн
W85,злополу свърза електропровод
W86,злополу свърза уточн източни електрическ ток
W87,злополу свърза неуточн източни електрическ ток
W88,въздействи йонизира излъчван
W89,въздействи изкуств видим ултравиолетов лъчи
W90,въздействи нейонизира излъчван
W91,въздействи излъчван неуточн
W92,въздействи прекомер топли изкуств източни
W93,въздействи прекомер студ изкуств източни
W94,въздействи висок ниск атмосфер наляган промен атмосфер наляган
W99,въздействи неуточн изкуств създа фактор външ среда
X00,въздействи неконтролируем огън пожар сграда съоръжени
X01,въздействи неконтролируем огън пожар сграда съоръжени
X02,въздействи контролируем огън сграда съоръжени
X03,въздействи контролируем огън сграда съоръжени
X04,увреждан запалван леснозапалим веществ
X05,увреждан запалван разтапян пижам риза
X06,увреждан запалван разтапян дреха допълн
X08,въздействи уточн източни дим огън пламъ
X09,въздействи неуточн източни дим огън пламъ
X10,съприкосновени горещ напитк хранител продукт мазнин кулинар масл
X11,съприкосновени горещ теча вода
X12,съприкосновени горещ течност
X13,въздействи пара горещ изпар
X14,въздействи горещ възду газов
X15,съприкосновени горещ битов прибор
X16,съприкосновени горещ нагревател уре отоплител радиатор тръби
X17,съприкосновени горещ двигат машин инструмент
X18,съприкосновени нажеж мета
X19,съприкосновени неуточн нажеж горещ веществ
X20,контакт отров змии гущер
X21,контакт отров паяци
X22,контакт скорпион
X23,контакт стърш оси пчели
X24,контакт стоножк отров многокрак тропическ артропод
X25,контакт уточн отров членестоног
X26,контакт отров морск живот раст
X27,контакт уточн отров живот
X28,контакт уточн отров раст
X29,контакт неуточн отров раст живот
X30,въздействи прекомер висок природ температур
X31,въздействи прекомер ниск природ температур
X32,въздействи слънчев светли
X33,жерт удар мълни
X34,жерт земетресени
X35,жерт вулканич изригван
X36,жерт лавин свлачищ разместван почв
X37,жерт разрушител буря
X38,жерт наводнени
X39,въздействи неуточн природ сили
X40,случа отравян въздействи неопиат аналгети антипирети противоревматич средств
X41,случа отравян въздействи антиконвулсив седатив сънотвор антипаркинсонов психотроп средств некласифицира другад
X42,случа отравян въздействи наркоти психодислепти халюциноген некласифицира другад
X43,случа отравян въздействи лекарств средств влияещ вегетатив нерв систем
X44,случа отравян въздействи неуточн лекарств средств медикамент биологич субстанци
X45,случа отравян въздействи алкохол
X46,случа отравян въздействи органич разтворит халогенсъдържа въглеводород пари
X47,случа отравян въздействи газов парообраз веществ
X48,случа отравян въздействи пестицид
X49,случа отравян въздействи неуточн химич отров веществ
X50,пренапряган резк повтар движен
X51,пътешестви преход
X52,продължител престо безтеглов състояни
X53,липс храна
X54,липс вода
X57,лишен неуточн
X58,въздействи уточн фактор
X59,въздействи неуточн фактор
X60,умишлен самоотравян въздействи неопиат аналгети антипирети противоревматич средств
X61,умишлен самоотравян въздействи антиконвулсив седатив сънотвор антипаркинсонов психотроп средств некласифицира другад
X62,умишлен самоотравян въздействи наркоти психодислепти халюциноген некласифицира другад
X63,умишлен самоотравян въздействи лекарств средств влияещ вегетатив нерв систем
X64,умишлен самоотравян въздействи неуточн лекарств средств медикамент биологич веществ
X65,умишлен самоотравян въздействи алкохол
X66,умишлен самоотравян въздействи органич разтворит халогенсъдържа въглеводород пари
X67,умишлен самоотравян въздействи газов парообраз веществ
X68,умишлен самоотравян въздействи пестицид
X69,умишлен самоотравян въздействи неуточн химич отров веществ
X70,умишлен самонараняван обесван удавян удушаван
X71,умишлен самонараняван потъван вода потапян
X72,умишлен самонараняван изстр ръчно огнестрел оръжи
X73,умишлен самонараняван изстр пушк оръжи сачм голямокалибр оръжи
X74,умишлен самонараняван изстр неуточн огнестрел оръжи
X75,умишлен самонараняван използван взривн веществ
X76,умишлен самонараняван дим огън пламъ
X77,умишлен самонараняван пари горещ изпар горещ предме
X78,умишлен самонараняван ост предме
X79,умишлен самонараняван тъпи предме
X80,умишлен самонараняван скачан висок
X81,умишлен самонараняван скачан под движещ обект ляган
X82,умишлен самонараняван авар мотор превоз средств
X83,умишлен самонараняван уточн действи
X84,умишлен самонараняван неуточн действи
X85,нападени прилаган лекарств средств медикамент биологич веществ
X86,нападени прилаган отров веществ
X87,нападени прилаган пестицид
X88,нападени прилаган газов парообраз веществ
X89,нападени прилаган уточн химич отров веществ
X90,нападени прилаган неуточн химич отров веществ
X91,нападени обесван удушаван удавян
X92,нападени потапян потъван вода
X93,нападени изстр ръчно огнестрел оръжи
X94,нападени изстр пушк оръжи сачм голямокалибр огнестрел оръжи
X95,нападени изстр неуточн огнестрел оръжи
X96,нападени използван взривн веществ
X97,нападени прилаган дим огън пламъ
X98,нападени прилаган пара горещ изпар горещ предме
X99,нападени прилаган ост предмет
Y00,нападени прилаган тъп предмет
Y01,нападени блъскан висок
Y02,нападени тласкан под движещ обект слаган жерт
Y03,нападени връхлитан мотор превоз средств
Y04,нападени прилаган физическ сила
Y05,сексуал нападени прилаган физическ сила
Y06.0,съпруг партньор
Y06.1,родит
Y06.2,позн лице
Y06.8,уточн лица
Y06.9,неуточн лице
Y07.0,съпруг партньор
Y07.1,родит
Y07.2,позн лице
Y07.3,официал лица
Y07.8,уточн лица
Y07.9,неуточн лице
Y08,нападени уточн средств
Y09,нападени неуточн средств
Y10,отравян въздействи неопиат аналгети антипирети противоревматич средств неопредел намер
Y11,отравян въздействи антиконвулсив седатив сънотвор антипаркинсонов психотроп средств некласифицира другад неопредел намер
Y12,отравян въздействи наркоти психодислепти халюциноген некласифицира другад неопредел намер
Y13,отравян въздействи лекарств средств влияещ вегетатив нерв систем неопредел намер
Y14,отравян въздействи неуточн лекарств средств медикамент биологич веществ неопредел намер
Y15,отравян въздействи алкохол неопредел намер
Y16,отравян въздействи органич разтворит халогенсъдържа въглеводород пари неопредел намер
Y17,отравян въздействи газов парообраз веществ неопредел намер
Y18,случа отравян въздействи пестицид неопредел намер
Y19,случа отравян въздействи неуточн химич отров веществ неопредел намер
Y20,обесван удушаван удавян неопредел намер
Y21,потъван под вода потапян неопредел намер
Y22,увреждан изстр ръчно огнестрел оръжи неопредел намер
Y23,увреждан изстр пушк оръжи сачм голямокалибр огнестрел оръжи неопредел намер
Y24,увреждан изстр неуточн огнестрел оръжи неопредел намер
Y25,контакт взривн веществ неопредел намер
Y26,въздействи дим огън пламъ неопредел намер
Y27,контакт пара горещ изпар горещ предме неопредел намер
Y28,контакт ост предмет неопредел намер
Y29,контакт тъп предмет неопредел намер
Y30,падан скачан блъскан висок неопредел намер
Y31,падан ляган бяган движещ обект неопредел намер
Y32,удар мотор превоз средств неопредел намер
Y33,уточн уврежда неуточн случа умишлен
Y34,неуточн увреждани неопредел намер
Y35.0,нараняван дължа закон интервенци включва нараняван огнестрел оръжи
Y35.1,нараняван дължа закон интервенци съпровод експлозив
Y35.2,увреждан дължа закон интервенци използван газ
Y35.3,нараняван дължа закон интервенци използван тъпи предме
Y35.4,нараняван дължа закон интервенци използван ост предме
Y35.5,предвид закон смърт наказани
Y35.6,увреждан дължа закон интервенци уточн средств
Y35.7,нараняван дължа закон интервенци неуточн средств
Y36.0,нараняван дължа воен действи причин експлози морск оръжи
Y36.1,нараняван дължа воен действи причин разрушаван самолет
Y36.2,нараняван дължа воен действи причин експлози отломк
Y36.3,нараняван дължа воен действи причин огън пожар наличи горещ веществ
Y36.4,нараняван дължа воен действи използван огнестрел оръжи видов обикнов въоръжени
Y36.5,воен действи използван ядр оръжи
Y36.6,воен действи използван биологич оръжи
Y36.7,воен действи използван химич вид оръжи масов унищожени
Y36.8,нараняван дължа бойн действи прекратяван воен действи
Y40.0,пеницилин
Y40.1,цефалоспорин лактам антибиоти
Y40.2,препарат групат хлорамфеникол
Y40.3,макролид
Y40.4,тетрациклин
Y40.5,аминогликозид
Y40.6,рифамицин
Y40.7,антимикотич антибиоти систем действи
Y40.8,антибиоти систем действи
Y40.9,антибиоти систем действи неуточн
Y41.0,сулфонамид препарат
Y41.1,антимикобактериал препарат
Y41.2,противомалари препарат средств действа кръвн протозои
Y41.3,средств лечени протозойн инфекци
Y41.4,антихелминт средств
Y41.5,антивирус лекарств средств
Y41.8,уточн систем противоинфекциоз противопаразит средств
Y41.9,противоинфекциоз противопаразит препарат систем действи неуточн
Y42.0,глюкокортикоид синтетич анало
Y42.1,тиреоид хормон заместит
Y42.2,антитиреоид препарат
Y42.3,инсули перорал хипогликемич противодиабет препарат
Y42.4,перорал контрацептив
Y42.5,естроген прогестоген
Y42.6,антигонадотропин антиестроген антиандроген некласифицира другад
Y42.7,андроген анабол анало
Y42.8,неуточн хормон синтетич заместит
Y42.9,неуточн антагонист хормон
Y43.0,антиалергич антиеметич средств
Y43.1,противотумор антиметаболит
Y43.2,противотумор природ препарат
Y43.3,противотумор препарат
Y43.4,имунодепресив средств
Y43.5,средств повишава киселинност алкалност
Y43.6,фермент некласифицира другад
Y43.8,лекарств средств систем действи некласифицира другад
Y43.9,лекарств препарат систем действи неуточн
Y44.0,препарат желязо препарат лечени хипохром анем
Y44.1,витами фолиев кисели препарат лечени мегалобласт анем
Y44.2,антикоагулант
Y44.3,антагонист антикоагулант витами к коагулант
Y44.4,противотромбич препарат инхибитор агрегаци тромбоцит
Y44.5,тромботич препарат
Y44.6,естеств кръв кръвн продукт
Y44.7,заместит плазм
Y44.9,неуточн препарат влияещ кръвн съставк
Y45.0,опиат сродн аналгети
Y45.1,салицилат
Y45.2,производ пропионов кисели
Y45.3,нестероид противовъзпалител лекарств средств nsaid
Y45.4,противоревматич средств
Y45.5,производ 4 аминофенол
Y45.8,обезболява понижава температур средств
Y45.9,обезболява понижава температур противовъзпалител средств неуточн
Y46.0,сукцинимид
Y46.1,оксазолидин
Y46.2,производ хидантоин
Y46.3,деоксибарбитурат
Y46.4,иминостилбен
Y46.5,валпроев кисели
Y46.6,неуточн антиконвулсив средств
Y46.7,антипаркинсонов лекарств средств
Y46.8,антиспазмолитич лекарств средств
Y47.0,барбитурат некласифицира другад
Y47.1,бензодиазепин
Y47.2,производ хлора
Y47.3,паралделхид
Y47.4,съедин брома
Y47.5,различ седатив сънотвор средств некласифицира другад
Y47.8,седатив сънотвор анксиолитич средств
Y47.9,седатив сънотвор анксиолитич средств неуточн
Y48.0,анестезира средств прилага инхалаци
Y48.1,парентерал обезболява препарат
Y48.2,неуточн обезболява веществ общ действи
Y48.3,средств мест анестези
Y48.4,обезболява средств неуточн
Y48.5,терапевтич газов
Y49.0,трициклич тетрациклич антидепресант
Y49.1,инхибитор моноаминооксидаз
Y49.2,неуточн антидепресант
Y49.3,антипсихотич невролептич препарат фенотиазинов редиц
Y49.4,невролепти производ бутирофенон тиоксант
Y49.5,антипсихотич невролептич препарат
Y49.6,психодислепти халюциноген
Y49.7,психостимулира средств възможност пристрастяван
Y49.8,психотроп препарат некласифицира другад
Y49.9,психотроп средств неуточн
Y50.0,аналептич средств
Y50.1,антагонист опиат рецептор
Y50.2,метилксантин некласифицира другад
Y50.8,стимулатор централ нерв систем
Y50.9,стимулатор централ нерв систем неуточн
Y51.0,инхибитор холинестераз
Y51.1,парасимпатикомиметич холинергич средств
Y51.2,ганглиоблокира средств некласифицира другад
Y51.3,парасимпатиколитич антихолинергич антимускарин спазмолитич средств некласифицира другад
Y51.4,агонист адренорецептор некласифицира другад
Y51.5,агонист адренорецептор некласифицира другад
Y51.6,антагонист адренорецептор некласифицира другад
Y51.7,антагонист адренорецептор некласифицира другад
Y51.8,централнодейства адренергич невронблокира средств некласифицира другад
Y51.9,неуточн лекарств действа вегетатив нерв систем
Y52.0,сърдеч гликозид препарат аналогич действи
Y52.1,блокер калциев кана
Y52.2,антиаритмич препарат некласифицира другад
Y52.3,коронароразширява средств некласифицира другад
Y52.4,инхибитор ангиотензинконвертира фермент
Y52.5,хипотензив средств некласифицира другад
Y52.6,антихиперлипидемич антиатеросклеротич средств
Y52.7,препарат разширява перифер съдов
Y52.8,антиварикоз венотонич лекарств средств включител склерозира агент
Y52.9,неуточн препарат действа сърдеч съдов систем
Y53.0,антагонист хистаминов н2 рецептор
Y53.1,антиацид средств потиска стомаш секреци
Y53.2,дразн пургатив средств
Y53.3,солн осмотич пургатив средств
Y53.4,пургатив
Y53.5,препарат стимулира храносмилан
Y53.6,антидиари средств
Y53.7,средств повръщан
Y53.8,препарат действа стомашночрев тракт
Y53.9,препарат действа стомашночрев тракт неуточн
Y54.0,минералокортикоид
Y54.1,антагонист минералокортикоид антагонист алдостерон
Y54.2,инхибитор карбонанхидраз
Y54.3,производ бензотиадиази
Y54.4,диурети бъбреч бримк
Y54.5,диурети
Y54.6,препарат влияещ електролит енерги водни баланс
Y54.7,препарат влияещ обмя калци
Y54.8,средств влияещ обмя пикоч кисели
Y54.9,минерал соли некласифицира другад
Y55.0,хормонал препарат групат окситоцин
Y55.1,миорелаксант блокер н холинорецептор скелет мускул
Y55.2,неуточн препарат влияещ мускулатур
Y55.3,медикамент кашлиц
Y55.4,отхрачва средств
Y55.5,лекарств средств използва хрема
Y55.6,антиастматич средств некласифицира другад
Y55.7,неуточн препарат действа дихател орга
Y56.0,противогъбич противоинфекциоз противовъзпалител средств локал действи некласифицира другад
Y56.1,противосърбеж средств
Y56.2,спойва средств детергент локал действи
Y56.3,омекчава успокоява предпазва средств
Y56.4,кератолитич кератопластич лекарств средств препарат лечени косат
Y56.5,лекарств средств препарат приложени офталмологи
Y56.6,лекарств средств препарат приложени оториноларингологи
Y56.7,лекарств средств приложени стоматологи
Y56.8,препарат локал приложени
Y56.9,препарат локал приложени неуточн
Y57.0,препарат намалява апетит анорексиген средств
Y57.1,липотроп средств
Y57.2,противоотров некласифицира другад
Y57.3,специал средств лечени алкохолиз предизвиква непоносимост алкохол
Y57.4,фармацевтич добавк
Y57.5,контраст веществ рентгенодиагности
Y57.6,диагностич препарат
Y57.7,витамин некласифицира другад
Y57.8,лекарств средств медикамент
Y57.9,лекарств средств медикамент неуточн
Y58.0,вакси бцж
Y58.1,противокоремнотиф противопаратиф вакси
Y58.2,противохолер вакси
Y58.3,противочум вакси
Y58.4,противотетанич вакси
Y58.5,противодифтери вакси
Y58.6,противококлюшн вакси включител комбинира ваксин противококлюшен компонент
Y58.8,смесен бактериал ваксин комбинира ваксин противококлюшен компонент
Y58.9,неуточн бактериал ваксин
Y59.0,противовирус вакси
Y59.1,противорикетсиоз вакси
Y59.2,вакси протозои
Y59.3,имуноглобули
Y59.8,уточн ваксин биологич веществ
Y59.9,ваксин биологич веществ неуточн
Y60.0,хирургич операци
Y60.1,инфузи трансфузи
Y60.2,бъбреч диали перфузи
Y60.3,инжекци имунизаци
Y60.4,ендоскопск изследван
Y60.5,сърдеч катетеризаци
Y60.6,аспираци течност тъка пункци катетеризаци
Y60.7,клизм
Y60.8,терапевтич хирургич процедур
Y60.9,неуточн хирургич терапевтич процедур
Y61.0,хирургич операци
Y61.1,инфузи трансфузи
Y61.2,бъбреч диали перфузи
Y61.3,инжекци имунизаци
Y61.4,ендоскопск изследван
Y61.5,сърдеч катетеризаци
Y61.6,аспираци течност тъка пункци катетеризаци
Y61.7,екстракци катет тампон
Y61.8,терапевтич хирургич процедур
Y61.9,неуточн хирургич терапевтич процедур
Y62.0,хирургич операци
Y62.1,инфузи трансфузи
Y62.2,бъбреч диали перфузи
Y62.3,инжекци имунизаци
Y62.4,ендоскопск изследван
Y62.5,сърдеч катетеризаци
Y62.6,аспираци течност тъка пункци катетеризаци
Y62.8,терапевтич хирургич процедур
Y62.9,неуточн хирургич терапевтич процедур
Y63.0,вливан излиш количеств кръв течност време трансфузи инфузи
Y63.1,неправил разреждан влята течност
Y63.2,предозиран лъчетерапи
Y63.3,случа облъчван болен изпълнени медицинск процедур
Y63.4,грешк дозиран лечени електрошо инсулинов шок
Y63.5,неподходя висок ниск температур време локал апликаци превръзк
Y63.6,неприлаган необходим лекарств средств медикамент биологич веществ
Y63.8,грешк дозиран време хирургич терапевтич процедур
Y63.9,грешк дозиран неуточн хирургич терапевтич процедур
Y64.0,инфектира медицинск биологич веществ използва трансфузи инфузи
Y64.1,инфектира медицинск биологич веществ използва инжекци ваксинаци
Y64.8,инфектира медицинск биологич веществ прилож начин
Y64.9,инфектира медицинск биологич веществ прилож неуточн начин
Y65.0,несъвместимост прелята кръв
Y65.1,използван вливан погреш взета течност
Y65.2,дефект шев лигатур време хирургич операци
Y65.3,погреш ендотрахеал интубаци анестези
Y65.4,дефект въвеждан изваждан тръба инструмент
Y65.5,изпълнени неподходя операци
Y65.8,уточн злополук време оказван терапевтич хирургич помощ
Y66,непредоставян хирургич терапевтич помощ
Y69,злополу време оказван хирургич терапевтич помощ неуточн
Y70,прибор устройств анестези свърза злополук
Y71,прибор устройств диагности лечени болест сърдеч съдов систем свърза злополук
Y72,прибор устройств използва оториноларингологи свърза злополук
Y73,прибор устройств използва гастроентерологи урологи свърза злополук
Y74,прибор устройств общоболнич индивидуал ползван свърза злополук
Y75,прибор устройств използва неврологи свърза злополук
Y76,прибор устройств използва акушерств гинекологи свърза злополук
Y77,прибор устройств използва офталмологи свърза злополук
Y78,радиологич прибор устройств свърза злополук
Y79,ортопедич прибор устройств свърза злополук
Y80,физиотерапевтич прибор устройств свърза злополук
Y81,прибор устройств прилага общ пластич хирурги свърза злополук
Y82,неуточн медицинск прибор устройств свърза злополук
Y83.0,хирургич операци трансплантаци цял орга
Y83.1,хирургич операци имплантаци изкуств вътреш устройств
Y83.2,хирургич операци анастомоз шънт транспланта
Y83.3,хирургич операци формиран външ стома
Y83.4,видов възстановител хирурги
Y83.5,ампутаци крайни ци
Y83.6,отделян орга частич пълн
Y83.8,хирургич операци
Y83.9,хирургич операци неуточн
Y84.0,сърдеч катетеризаци
Y84.1,бъбреч диали
Y84.2,радиологич процедур лъчев терапи
Y84.3,шоков терапи
Y84.4,аспираци течност
Y84.5,вкарван стомаш дуоденал сонд
Y84.6,катетеризаци пикоч пътищ
Y84.7,вземан кръвн проба
Y84.8,медицинск процедур
Y84.9,медицинск процедур неуточн
Y85.0,последи злополу свърза мотор превоз средств
Y85.9,последи злополу свърза неуточн превоз средств
Y86,последи злополук
Y87.0,последи умишлен самонараняван
Y87.1,последи нападени
Y87.2,последи съби уврежда неуточн случа умишлен
Y88.0,последи неблагоприят въздействи лекарств средств медикамент биологич веществ използва терапевтич цели
Y88.1,последи случа нанес вреда пациент време хирургич терапевтич процедур
Y88.2,последи злополук свърза използван медицинск оборудван диагностич терапевтич цели
Y88.3,последи хирургич терапевтич процедур причин анормал реакци късн усложнени пациен споменаван случа нанес вреда време изпълнени
Y89.0,последи резулта закон действи
Y89.1,последи воен действи
Y89.9,последи неуточн външ причин
Y90.0,съдържани алкохол кръвт малк 20 мг 100 мл
Y90.1,съдържани алкохол кръвт 20 39 мг 100 мл
Y90.2,съдържани алкохол кръвт 40 59 мг 100 мл
Y90.3,съдържани алкохол кръвт 60 79 мг 100 мл
Y90.4,съдържани алкохол кръвт 80 99 мг 100 мл
Y90.5,съдържани алкохол кръвт 100 119 мг 100 мл
Y90.6,съдържани алкохол кръвт 120 199 мг 100 мл
Y90.7,съдържани алкохол кръвт 200 239 мг 100 мл
Y90.8,съдържани алкохол кръвт 240 мг 100 мл
Y90.9,наличи алкохол кръвт неуточн съдържани
Y91.0,алкохол интоксикаци лека степен
Y91.1,алкохол интоксикаци средн степен
Y91.2,алкохол интоксикаци тежк степен
Y91.3,алкохол интоксикаци тежк степен
Y91.9,алкохол опиянени неуточн
Y95,състояни хоспитализиран
Y96,фактор има отношени работ
Y97,фактор свърза замърсяван окол среда
Y98,фактор свърза начин живот
Z01.9,специал изследван неуточн
Z02.1,изследван постъпван работ
Z02.4,изследван връзк получаван право управлени мотор превоз средств
Z02.6,изследван връзк застрахован
Z02.7,контакт връзк получаван медицинск документ
Z09.0,последва изследван хирургич намес повод състоян
Z09.1,последва изследван радиотерапи повод състоян
Z09.2,последва изследван химиотерапи повод състоян
Z09.3,последва изследван психотерапи
Z09.7,последва изследван комбинира лечени повод състоян
Z09.8,последва изследван вид лечени повод състоян
Z10.1,рутин общ провер здраве лица пребивава специал заве
Z10.2,рутин общ провер здраве персона въоръж сили
Z12.0,специал скринингов изследван откриван новообразувани стома
Z12.1,специал скринингов изследван откриван новообразувани стомашночрев тракт
Z12.2,специал скринингов изследван откриван новообразувани дихател орга
Z12.5,специал скринингов изследван откриван новообразувани простат
Z12.6,специал скринингов изследван откриван новообразувани пикоч мехур
Z12.9,специал скринингов изследван откриван неуточн новообразувани
Z13.1,специал скринингов изследван откриван захар диабет
Z22.0,носителств причинител корем тиф
Z22.2,носителств причинител дифтери
Z22.8,носителств причинител инфекциоз болест
Z22.9,носителств причинител неуточн инфекциоз болест
Z23.0,необходимост имунизаци само холер
Z23.1,необходимост имунизаци само корем тиф паратиф
Z23.2,необходимост имунизаци туберкулоз бцж
Z23.3,необходимост имунизаци чума
Z23.4,необходимост имунизаци туларем
Z23.6,необходимост имунизаци дифтери
Z23.7,необходимост имунизаци коклюш
Z23.8,необходимост имунизаци бактериал болест
Z24.0,необходимост имунизаци полиомиелит
Z24.1,необходимост имунизаци вирус енцефалит предава членестоног
Z24.2,необходимост имунизаци бяс
Z24.3,необходимост имунизаци жълт треск
Z24.4,необходимост имунизаци морб
Z24.5,необходимост имунизаци рубеол
Z24.6,необходимост имунизаци вирус хепатит
Z25.0,необходимост имунизаци само епидемич паротит
Z25.1,необходимост имунизаци грип
Z26.0,необходимост имунизаци лайшманиоз
Z26.8,необходимост имунизаци уточн инфекциоз болест
Z27.0,необходимост имунизаци холер корем тиф паратиф
Z27.1,необходимост имунизаци дифтери тетанус коклюш дифтетко
Z27.2,необходимост имунизаци дифтери тетанус коклюш корем тиф паратиф
Z27.3,необходимост имунизаци дифтери тетанус коклюш полиомиелит
Z27.4,необходимост имунизаци морб епидемич паротит рубеол
Z27.8,необходимост имунизаци комбинаци инфекциоз болест
Z27.9,необходимост имунизаци неуточн комбинаци инфекциоз болест
Z29.0,изолаци
Z29.8,уточн профилактич мерк
Z29.9,профилактич мярк неуточн
Z31.1,изкуств оплождан
Z31.3,метод подпомага оплождан
Z31.5,генетич консултаци
Z31.6,общ консултаци съвет възстановяван детерод функци
Z31.8,мерк възстановяван детерод функци
Z31.9,мярк възстановяван детерод функци неуточн
Z35.9,наблюдени бременност жена подлож висок риск неуточн характер
Z36.3,антенатал скрининг помощ ултразву физич метод откриван аномали развити
Z36.4,антенатал скрининг помощ ултразву физич метод откриван изоставан нарастван плода
Z36.5,антенатал скрининг откриван изоимунизаци
Z36.9,неуточн вид антенатали скрининг
Z37.0,живород
Z37.1,мъртвород
Z37.2,близна живород
Z37.3,близна живород мъртвород
Z37.4,близна мъртвород
Z37.5,многоплод ражда живород
Z37.6,многоплод ражда живород
Z37.7,многоплод ражда мъртвород
Z41.2,обикнов ритуал обрязван
Z43.4,грижа изкуств отвор храносмилател тракт
Z43.7,грижа изкуств влагалищ
Z43.8,грижа уточн изкуств отвор
Z43.9,грижа неуточн изкуств отвор
Z44.0,проба нагласян изкуств ръка цяла част
Z44.1,проба нагласян изкуств крак цял част
Z44.2,проба нагласян изкуств око
Z45.1,поставян регулиран систем вливан
Z46.1,проба нагласян слухов апара
Z46.9,проба нагласян неуточн средств
Z47.9,последва ортопедич помощ неуточн
Z48.9,последва хирургич помощ неуточн
Z50.0,рехабилитаци болест сърц
Z50.5,речев терапи
Z50.9,лечени включва рехабилитацион процедур неуточн
Z51.0,курс радиотерапи поддържа
Z51.5,палиатив помощ
Z51.6,десенсибилизаци алерген
Z52.0,донор кръв
Z52.1,донор кожа
Z52.2,донор кост
Z52.3,донор кост мозъ
Z52.4,донор бъбре
Z52.5,донор роговиц
Z52.6,донор черен дроб
Z52.7,донор сърц
Z52.9,донор неуточн орга тъка
Z54.1,реконвалесценци радиотерапи
Z54.2,реконвалесценци химиотерапи
Z54.4,реконвалесценци лечени счупван
Z54.7,реконвалесценци комбинира лечени
Z54.8,реконвалесценци лечени
Z55.1,липс способност обучаван
Z57.6,неблагоприят въздействи производств екстремал температур
Z58.3,въздействи замърсяван почв
Z58.6,неадекват снабдяван питейн вода
Z59.5,крайн нище
Z61.8,неблагоприят жизн съби детств
Z62.1,излиш опекунств страна родител
Z62.4,емоционал изоставян децат
Z62.6,неприемлив натиск страна родител отрицател фактор възпитани
Z63.2,недостатъч семейн поддръжк
Z63.3,отсъстви член семейств
Z65.9,проблем свърза неуточн обстоятелств психологич характер
Z70.0,консултиран отношени сексуал въпрос
Z70.3,консултиран сложн проблем свърза сексуал отнош поведени ориентаци
Z70.9,консултаци сексуал въпрос неуточн
Z72.3,недостатъч физическ активност
Z72.9,проблем свърза начин живот неуточн
Z73.8,проблем свърза трудност поддържан начин живот
Z73.9,проблем свърза трудност поддържан начин живот неуточн
Z76.0,издаван повтор рецепт
Z76.4,лица нужда помощ здравн служб
Z76.8,лица обърн здравн служб уточн обстоятелств
Z76.9,лице обърн здравн служб неуточн обстоятелств
Z80.3,семейн анамнез има злокачеств новообразувани млечн жлеза
Z80.4,семейн анамнез има злокачеств новообразувани полов орга
Z80.5,семейн анамнез има злокачеств новообразувани пикоч орга
Z80.6,семейн анамнез има левкем
Z80.8,семейн анамнез има злокачеств новообразува орга систем
Z80.9,семейн анамнез има злокачеств новообразувани неуточн
